Consistency of Silhouettes and Their Duals [(0.20899746, 'Points'), (0.65163064, 'Graphic')]
Cataloging Public Objects Using Aerial and Street-Level Images - Urban Trees [(0.31575894, 'Dataset'), (0.4906998, 'Object Detection')]
Temporal Multimodal Learning in Audiovisual Speech Recognition [(0.31828275, 'Dataset'), (0.37393802, 'Video')]
Camera Calibration From Periodic Motion of a Pedestrian [(0.1682573, 'Similarity'), (0.7899627, 'Graphic')]
Multi-Label Ranking From Positive and Unlabeled Data [(0.40735444, 'Points'), (0.56378835, 'Dataset')]
Recognizing Activities of Daily Living With a Wrist-Mounted Camera [(0.1715467, 'Object Detection'), (0.43568596, 'Video')]
LOMo  Latent Ordinal Model for Facial Analysis in Videos [(0.24226604, 'Dataset'), (0.5018606, 'Video')]
One-Shot Learning of Scene Locations via Feature Trajectory Transfer [(0.07003242, 'Graphic'), (0.82136875, 'Dataset')]
Real-Time Depth Refinement for Specular Objects [(0.025572246, 'Points'), (0.93356884, 'Graphic')]
Sublabel-Accurate Relaxation of Nonconvex Energies [(0.3482339, 'Graphic'), (0.6215099, 'Points')]
Personalizing Human Video Pose Estimation [(0.31575355, 'Object Detection'), (0.42019767, 'Video')]
SemiContour  A Semi-Supervised Learning Approach for Contour Detection [(0.30613032, 'Points'), (0.39004794, 'Dataset')]
Training Region-Based Object Detectors With Online Hard Example Mining [(0.29562154, 'Convolution'), (0.3119668, 'Object Detection')]
Removing Clouds and Recovering Ground Observations in Satellite Image Sequences via Temporally Conti [(0.4055319, 'Points'), (0.4064214, 'Graphic')]
Fast Algorithms for Convolutional Neural Networks [(0.32168016, 'Convolution'), (0.5650194, 'Points')]
Detecting Repeating Objects Using Patch Correlation Analysis [(0.17406553, 'Dataset'), (0.5202704, 'Object Detection')]
What If We Do Not Have Multiple Videos of the Same Action  -- Video Action Localization Using Web Im [(0.33039424, 'Video'), (0.4912996, 'Object Detection')]
Learning to Localize Little Landmarks [(0.25466004, 'Object Detection'), (0.34051263, 'Dataset')]
Embedding Label Structures for Fine-Grained Feature Representation [(0.135379, 'Convolution'), (0.69671875, 'Dataset')]
Visually Indicated Sounds [(0.24638686, 'Video'), (0.4881295, 'Dataset')]
Adaptive Object Detection Using Adjacency and Zoom Prediction [(0.14263363, 'Convolution'), (0.75474954, 'Object Detection')]
Latent Embeddings for Zero-Shot Classification [(0.13325962, 'Points'), (0.83908594, 'Dataset')]
Learning Structured Inference Neural Networks With Label Relations [(0.26962718, 'Convolution'), (0.6275793, 'Dataset')]
Exploiting Spectral-Spatial Correlation for Coded Hyperspectral Image Restoration [(0.43674308, 'Graphic'), (0.440068, 'Points')]
Coupled Harmonic Bases for Longitudinal Characterization of Brain Networks [(0.117291704, 'Video'), (0.66717124, 'Points')]
The Global Patch Collider [(0.24734844, 'Graphic'), (0.26455083, 'Object Detection')]
Reconstructing Shapes and Appearances of Thin Film Objects Using RGB Images [(0.05926944, 'Object Detection'), (0.9094489, 'Graphic')]
Efficient Coarse-To-Fine PatchMatch for Large Displacement Optical Flow [(0.17656034, 'Graphic'), (0.5124952, 'Object Detection')]
Online Detection and Classification of Dynamic Hand Gestures With Recurrent 3D Convolutional Neural  [(0.24316242, 'Convolution'), (0.4688872, 'Video')]
Learning Cross-Domain Landmarks for Heterogeneous Domain Adaptation [(0.16452089, 'Points'), (0.79515254, 'Dataset')]
DHSNet  Deep Hierarchical Saliency Network for Salient Object Detection [(0.459002, 'Object Detection'), (0.5221595, 'Convolution')]
Joint Learning of Single-Image and Cross-Image Representations for Person Re-Identification [(0.28994548, 'Convolution'), (0.45661533, 'Similarity')]
Factors in Finetuning Deep Model for Object Detection With Long-Tail Distribution [(0.2285259, 'Object Detection'), (0.63435143, 'Dataset')]
A Comparative Study for Single Image Blind Deblurring [(0.2840229, 'Dataset'), (0.39299577, 'Object Detection')]
What Sparse Light Field Coding Reveals About Scene Structure [(0.25409812, 'Points'), (0.60310584, 'Graphic')]
3D Part-Based Sparse Tracker With Automatic Synchronization and Registration [(0.27110827, 'Similarity'), (0.38826138, 'Graphic')]
Using Spatial Order to Boost the Elimination of Incorrect Feature Matches [(0.27543336, 'Similarity'), (0.44101468, 'Graphic')]
Loss Functions for Top-k Error  Analysis and Insights [(0.42927834, 'Points'), (0.44459876, 'Dataset')]
DeepCAMP  Deep Convolutional Action & Attribute Mid-Level Patterns [(0.19736387, 'Object Detection'), (0.4999441, 'Dataset')]
Moral Lineage Tracing [(0.30163175, 'Object Detection'), (0.5597892, 'Points')]
Sliced Wasserstein Kernels for Probability Distributions [(0.10109409, 'Dataset'), (0.79220605, 'Points')]
Large Scale Semi-Supervised Object Detection Using Visual and Semantic Knowledge Transfer [(0.21786998, 'Object Detection'), (0.7231561, 'Dataset')]
Learnt Quasi-Transitive Similarity for Retrieval From Large Collections of Faces [(0.19071223, 'Points'), (0.47146684, 'Dataset')]
Logistic Boosting Regression for Label Distribution Learning [(0.2974937, 'Dataset'), (0.5351026, 'Points')]
First Person Action Recognition Using Deep Learned Descriptors [(0.21043186, 'Convolution'), (0.50809157, 'Video')]
Augmented Blendshapes for Real-Time Simultaneous 3D Head Modeling and Facial Motion Capture [(0.3095266, 'Video'), (0.66736597, 'Graphic')]
A Continuous Occlusion Model for Road Scene Understanding [(0.39532697, 'Object Detection'), (0.4193568, 'Graphic')]
Principled Parallel Mean-Field Inference for Discrete Random Fields [(0.113833606, 'Graphic'), (0.6987667, 'Points')]
STCT  Sequentially Training Convolutional Networks for Visual Tracking [(0.27391988, 'Similarity'), (0.37127748, 'Convolution')]
Stereo Matching With Color and Monochrome Cameras in Low-Light Conditions [(0.13623373, 'Object Detection'), (0.78481734, 'Graphic')]
Some Like It Hot - Visual Guidance for Preference Prediction [(0.11281296, 'Video'), (0.74111366, 'Dataset')]
Macroscopic Interferometry  Rethinking Depth Estimation With Frequency-Domain Time-Of-Flight [(0.07112949, 'Points'), (0.86811084, 'Graphic')]
Learning Deep Representation for Imbalanced Classification [(0.17188798, 'Points'), (0.6479932, 'Dataset')]
Recurrent Face Aging [(0.22668792, 'Dataset'), (0.42502537, 'Video')]
CP-mtML  Coupled Projection Multi-Task Metric Learning for Large Scale Face Retrieval [(0.20115873, 'Points'), (0.5179894, 'Dataset')]
Slow and Steady Feature Analysis  Higher Order Temporal Coherence in Video [(0.20073783, 'Video'), (0.5324201, 'Dataset')]
Approximate Log-Hilbert-Schmidt Distances Between Covariance Operators for Image Classification [(0.14734095, 'Dataset'), (0.6231257, 'Points')]
Local Background Enclosure for RGB-D Salient Object Detection [(0.2571314, 'Graphic'), (0.65021825, 'Object Detection')]
Shape Analysis With Hyperbolic Wasserstein Distance [(0.22404273, 'Points'), (0.589363, 'Graphic')]
Robust 3D Hand Pose Estimation in Single Depth Images  From Single-View CNN to Multi-View CNNs [(0.20460169, 'Convolution'), (0.4835374, 'Graphic')]
Prior-Less Compressible Structure From Motion [(0.32750764, 'Graphic'), (0.62128234, 'Points')]
Detection and Accurate Localization of Circular Fiducials Under Highly Challenging Conditions [(0.1647781, 'Object Detection'), (0.7248558, 'Graphic')]
From Dusk Till Dawn  Modeling in the Dark [(0.20220749, 'Object Detection'), (0.56193525, 'Graphic')]
Do Computational Models Differ Systematically From Human Object Perception  [(0.2161499, 'Graphic'), (0.49353862, 'Dataset')]
From Bows to Arrows  Rolling Shutter Rectification of Urban Scenes [(0.05039918, 'Object Detection'), (0.8865624, 'Graphic')]
UAV Sensor Fusion With Latent-Dynamic Conditional Random Fields in Coronal Plane Estimation [(0.3867142, 'Video'), (0.50979155, 'Graphic')]
Virtual Worlds as Proxy for Multi-Object Tracking Analysis [(0.32789904, 'Dataset'), (0.3574408, 'Graphic')]
A Robust Multilinear Model Learning Framework for 3D Faces [(0.2792532, 'Video'), (0.42464095, 'Graphic')]
Inverting Visual Representations With Convolutional Networks [(0.2335378, 'Graphic'), (0.4025201, 'Convolution')]
Refining Architectures of Deep Convolutional Neural Networks [(0.33370343, 'Dataset'), (0.36240265, 'Convolution')]
CRAFT Objects From Images [(0.30304536, 'Dataset'), (0.5403298, 'Object Detection')]
Automated 3D Face Reconstruction From Multiple Images Using Quality Measures [(0.16553907, 'Video'), (0.58197117, 'Graphic')]
Traffic-Sign Detection and Classification in the Wild [(0.26051304, 'Dataset'), (0.4679887, 'Object Detection')]
Dictionary Pair Classifier Driven Convolutional Neural Networks for Object Detection [(0.28449607, 'Object Detection'), (0.29916787, 'Convolution')]
Tensor Robust Principal Component Analysis  Exact Recovery of Corrupted Low-Rank Tensors via Convex  [(0.16624047, 'Graphic'), (0.8086463, 'Points')]
Online Multi-Object Tracking via Structural Constraint Event Aggregation [(0.29858315, 'Similarity'), (0.39206347, 'Object Detection')]
Real-Time Salient Object Detection With a Minimum Spanning Tree [(0.18382275, 'Points'), (0.6964418, 'Object Detection')]
Recognizing Micro-Actions and Reactions From Paired Egocentric Videos [(0.107569136, 'Dataset'), (0.7306344, 'Video')]
Highlight Detection With Pairwise Deep Ranking for First-Person Video Summarization [(0.17527826, 'Dataset'), (0.5058623, 'Video')]
Temporal Action Detection Using a Statistical Language Model [(0.22892413, 'Object Detection'), (0.49691287, 'Video')]
Video-Story Composition via Plot Analysis [(0.27221596, 'Points'), (0.45077956, 'Video')]
Temporal Action Localization in Untrimmed Videos via Multi-Stage CNNs [(0.29686108, 'Video'), (0.38234347, 'Object Detection')]
Learning Deep Features for Discriminative Localization [(0.35715973, 'Convolution'), (0.3882003, 'Dataset')]
Zero-Shot Learning via Joint Latent Similarity Embedding [(0.21765818, 'Points'), (0.7630717, 'Dataset')]
DCAN  Deep Contour-Aware Networks for Accurate Gland Segmentation [(0.27554002, 'Convolution'), (0.53750795, 'Object Detection')]
GraB  Visual Saliency via Novel Graph Model and Background Priors [(0.13819814, 'Points'), (0.6302788, 'Object Detection')]
Occlusion-Free Face Alignment  Deep Regression Networks Coupled With De-Corrupt AutoEncoders [(0.32594216, 'Graphic'), (0.32984835, 'Convolution')]
LocNet  Improving Localization Accuracy for Object Detection [(0.15582693, 'Convolution'), (0.64072716, 'Object Detection')]
Joint Probabilistic Matching Using m-Best Solutions [(0.18698163, 'Similarity'), (0.69751024, 'Points')]
Joint Unsupervised Learning of Deep Representations and Image Clusters [(0.35711303, 'Dataset'), (0.36573228, 'Points')]
Recovering Transparent Shape From Time-Of-Flight Distortion [(0.04659352, 'Object Detection'), (0.95023763, 'Graphic')]
Homography Estimation From the Common Self-Polar Triangle of Separate Ellipses [(0.02512639, 'Similarity'), (0.9502752, 'Graphic')]
Fast Algorithms for Linear and Kernel SVM+ [(0.38450688, 'Dataset'), (0.58502877, 'Points')]
Hierarchically Gated Deep Networks for Semantic Segmentation [(0.3747975, 'Object Detection'), (0.5381324, 'Convolution')]
Progressive Feature Matching With Alternate Descriptor Selection and Correspondence Enrichment [(0.24758853, 'Object Detection'), (0.3234173, 'Similarity')]
GOGMA  Globally-Optimal Gaussian Mixture Alignment [(0.433248, 'Points'), (0.5340894, 'Graphic')]
A Hole Filling Approach Based on Background Reconstruction for View Synthesis in 3D Video [(0.44073293, 'Graphic'), (0.44656515, 'Object Detection')]
Primary Object Segmentation in Videos via Alternate Convex Optimization of Foreground and Background [(0.16138498, 'Video'), (0.6608336, 'Object Detection')]
Going Deeper into First-Person Activity Recognition [(0.28502375, 'Convolution'), (0.3741232, 'Video')]
HyperNet  Towards Accurate Region Proposal Generation and Joint Object Detection [(0.35847268, 'Convolution'), (0.60214734, 'Object Detection')]
Accurate Image Super-Resolution Using Very Deep Convolutional Networks [(0.24161348, 'Points'), (0.56892526, 'Convolution')]
Efficient and Robust Color Consistency for Community Photo Collections [(0.24135064, 'Points'), (0.65236765, 'Graphic')]
Object Co-Segmentation via Graph Optimized-Flexible Manifold Ranking [(0.115768075, 'Points'), (0.7334552, 'Object Detection')]
SPDA-CNN  Unifying Semantic Part Detection and Abstraction for Fine-Grained Recognition [(0.38523197, 'Convolution'), (0.45815662, 'Object Detection')]
Monocular 3D Object Detection for Autonomous Driving [(0.11405771, 'Graphic'), (0.6960823, 'Object Detection')]
Improved Hamming Distance Search Using Variable Length Substrings [(0.079672605, 'Dataset'), (0.88418263, 'Points')]
What Value Do Explicit High Level Concepts Have in Vision to Language Problems  [(0.17236258, 'Convolution'), (0.7881945, 'Dataset')]
Joint Recovery of Dense Correspondence and Cosegmentation in Two Images [(0.21625918, 'Graphic'), (0.53998816, 'Object Detection')]
Object Tracking via Dual Linear Structured SVM and Explicit Feature Map [(0.3735417, 'Similarity'), (0.430371, 'Points')]
MovieQA  Understanding Stories in Movies Through Question-Answering [(0.16553624, 'Video'), (0.80073845, 'Dataset')]
Depth From Semi-Calibrated Stereo and Defocus [(0.04401933, 'Object Detection'), (0.92996633, 'Graphic')]
Trace Quotient Meets Sparsity  A Method for Learning Low Dimensional Image Representations [(0.21232207, 'Dataset'), (0.72196746, 'Points')]
Newtonian Scene Understanding  Unfolding the Dynamics of Objects in Static Images [(0.27192247, 'Dataset'), (0.34893072, 'Graphic')]
What's Wrong With That Object  Identifying Images of Unusual Objects by Modelling the Detection Scor [(0.22358228, 'Dataset'), (0.62956583, 'Object Detection')]
Scale-Aware Alignment of Hierarchical Image Segmentation [(0.116787784, 'Dataset'), (0.7313034, 'Object Detection')]
Efficient Temporal Sequence Comparison and Classification Using Gram Matrix Embeddings on a Riemanni [(0.33464774, 'Video'), (0.42277682, 'Points')]
RIFD-CNN  Rotation-Invariant and Fisher Discriminative Convolutional Neural Networks for Object Dete [(0.24551192, 'Object Detection'), (0.40285045, 'Dataset')]
Efficient Piecewise Training of Deep Structured Models for Semantic Segmentation [(0.37058204, 'Convolution'), (0.49764448, 'Object Detection')]
Marr Revisited  2D-3D Alignment via Surface Normal Prediction [(0.31970307, 'Graphic'), (0.487553, 'Convolution')]
Multilinear Hyperplane Hashing [(0.9899918, 'Points')]
Heterogeneous Light Fields [(0.015642902, 'Points'), (0.9839655, 'Graphic')]
Detecting Events and Key Actors in Multi-Person Videos [(0.06302195, 'Convolution'), (0.89810723, 'Video')]
Hierarchical Recurrent Neural Encoder for Video Representation With Application to Captioning [(0.37649783, 'Video'), (0.599511, 'Convolution')]
Structured Feature Similarity With Explicit Feature Map [(0.1410479, 'Points'), (0.85859615, 'Similarity')]
Multimodal Spontaneous Emotion Corpus for Human Behavior Analysis [(0.06810057, 'Graphic'), (0.9315508, 'Video')]
Quantized Convolutional Neural Networks for Mobile Devices [(0.24837354, 'Points'), (0.7512574, 'Convolution')]
Copula Ordinal Regression for Joint Estimation of Facial Action Unit Intensity [(0.20076285, 'Video'), (0.7915795, 'Points')]
Deep Contrast Learning for Salient Object Detection [(0.3035206, 'Object Detection'), (0.69617546, 'Convolution')]
 [(0.1620609, 'Dataset'), (0.19658898, 'Points')]
